# 단어,품사,우리말샘ID
이동통신사,명사,682198
이동형,명사,748266
이맥스,명사,1209273
이적료,명사,766325
이지스함,명사,669896
이화여대,명사,1389795
이화여자대학교,명사,1386609
인디밴드,명사,648919
인사동,명사,1391608
인쇄용,명사,757188
인수합병,명사,686581
인코딩,명사,1369449
인코딩하다,동사,1396109
일란성,명사,819388
일본말,명사,720247
임플란트,명사,672564
입국장,명사,712840
입력기,명사,642323
자구안,명사,879551
자릿값,명사,794252
자매품,명사,719541
자민당,명사,1112080
자사주,명사,794524
자살률,명사,663423
자연어처리,명사,740319
자연언어처리,명사,1091392
자영업자,명사,637231
자유소프트웨어,명사,740327
자치단체장,명사,973114
잔치국수,명사,629541
장지갑,명사,674809
재대결,명사,894011
재발급,명사,757468
재배포,명사,821090
재배포하다,동사,936539
재보선,명사,790428
재신임,명사,672640
재탄생,명사,659482
재합류,명사,1069320
저가형,명사,637155
저농도,명사,921943
저습지,명사,1079873
저예산,명사,636054
저장소,명사,636277
저장장치,명사,831127
저전력,명사,1067532
저효율,명사,631377
적부심,명사,636325
적합도,명사,842758
전공자,명사,638985
전국교직원노동조합,명사,802212
전남대,명사,1397074
전남대학교,명사,1386269
전단지,명사,642677
전망치,명사,672525
전산학,명사,636468
전산학과,명사,650770
전용도로,명사,630051
전자정부,명사,725869
전쟁광,명사,957090
전주대,명사,265122
절사평균,명사,1129930
점치기하다,동사,263866
접목되다,동사,794192
정경유착,명사,670839
정규식,명사,1106033
정보통신,명사,756627
정복지,명사,639006
정액제,명사,670420
정유사,명사,705588
정직원,명사,1314800
정치자금법,명사,663736
정크푸드,명사,703279
정형화되다,동사,642699
제구력,명사,912790
제법,명사,267446
제왕적,명사,927059
제조물,명사,1089046
제조업체,명사,647941
제주대학교,명사,1386426
제주시,명사,1387103
제품군,명사,637544
제품성,명사,1130020
조선대학교,명사,1386323
조선민주주의인민공화국,명사,966211
조회수,명사,739733
종로구,명사,1387018
종부세,명사,637137
종북주의,명사,1020120
종속성,명사,638192
종합우승,명사,802003
종횡무진하다,동사,845710
주변국,명사,664243
주식매수청구권,명사,683480
주최국,명사,758685
주한미군,명사,710273
중개소,명사,651459
중개업소,명사,668674
중고등학교,명사,640527
중국산,명사,789320
중랑구,명사,1387040
중북부,명사,805408
중위권,명사,767823
중의학,명사,903711
중장기,명사,797823
중장기적,명사,762955
중재안,명사,826494
중후반,명사,789092
증강현실,명사,629527
지구인,명사,752229
지능형,명사,965895
지원되다,동사,748297
지자체장,명사,1068238
지향적,명사,634783
직불제,명사,648765
진검,명사,768579
진기록,명사,793876
진정성,명사,664245
집중형,명사,844279
집창촌,명사,1313594
징벌적,명사,972707
차단제,명사,766128
차량용,명사,750662
찬스,명사,1280987
참살이,명사,794212
참여자,명사,755311
창조론,명사,629830
채권단,명사,629832
채증,명사,796224
책임론,명사,793807
처리기,명사,715437
처방하다,동사,766050
첩보원,명사,793809
청결제,명사,841082
청구되다,동사,840652
체력적,명사,785758
체포영장,명사,739208
체험기,명사,752936
체험전,명사,782195
초강력,명사,662727
초기화,명사,903524
초등생,명사,794117
초저가,명사,663193
초중고,명사,641714
초중반,명사,789091
초특가,명사,662741
총리실,명사,753203
총생산,명사,811173
촬영분,명사,766070
촬영지,명사,766074
최강자,명사,664247
최고치,명사,705397
최정예,명사,835416
추종자,명사,637209
추측성,명사,638196
축구계,명사,646181
축구협회,명사,792956
출소자,명사,753038
출연작,명사,663484
출원되다,동사,945029
출제자,명사,635899
충남대,명사,1396697
충남대학교,명사,1396696
충전소,명사,662778
치과의사,명사,794110
치료사,명사,855897
치킨집,명사,649151
친인척,명사,718427
침해되다,동사,760015
컴퓨터과학,명사,1144053
컴퓨팅,명사,768700
코덱,명사,774399
코멘트,명사,980572
코스피,명사,671475
콘퍼런스,명사,1374087
키스신,명사,702878
탈부착,명사,666361
탑재되다,동사,1385469
태국인,명사,817203
태블릿,명사,1296846
태생적,명사,973937
태양빛,명사,511620
택배비,명사,755345
테라,의존 명사,959421
테러범,명사,769614
테프론,명사,1260906
통사적,명사,647015
통영시,명사,1388441
통제소,명사,1313500
통합민주당,명사,1142654
퇴임식,명사,784790
퇴행성,명사,663432
투명성,명사,701523
투영되다,동사,758907
투자비,명사,676508
트래픽,명사,1089507
트렌드,명사,619000
트리,명사,1010351
트릭,명사,1317323
트위터,명사,979539
특소세,명사,1218439
특허청장,명사,1032405
파이썬,명사,1389743
파일이름,명사,742278
판촉용,명사,757261
팝업,명사,734445
패니어,명사,1312631
패션업계,명사,925916
편백나무,명사,666363
평가액,명사,642269
포도알,명사,630060
포털,명사,1339054
표준국어대사전,명사,1394042
풍수적,명사,642325
프랑스인,명사,902803
프러포즈하다,동사,972684
프로게이머,명사,629380
프로모션,명사,1185844
플러그인,명사,818577
피고용자,명사,637176
피보전채권,명사,1048105
피신청인,명사,1377354
피실험자,명사,785771
피싱,명사,1348417
피인용,명사,1288813
필라테스,명사,759218
필터링,명사,982520
학대자,명사,636431
학생회장,명사,636534
학원비,명사,757361
학회장,명사,880280
한국군,명사,720425
한국식,명사,811922
한국판,명사,771673
한국형,명사,771674
한글판,명사,670435
한미동맹,명사,789085
한뼘바지,명사,925456
한세대학교,명사,1386536
한양대,명사,1390485
합의문,명사,638271
핫이슈,명사,1254516
항공업계,명사,925623
항균제,명사,805472
항암물질,명사,826830
해산되다,동사,695221
해설가,명사,637008
해운대구,명사,1387556
핸들러,명사,693807
행정심판법,명사,810067
행정절차법,명사,765289
허혈성,명사,672523
헌법소원,명사,879588
헌법재판소법,명사,1052373
헌재,명사,1373105
현재진행형,명사,645067
협상안,명사,756645
협상전략,명사,1004322
형사법원,명사,1054747
형사피의자,명사,1054717
호객꾼,명사,702633
호남대학교,명사,1386427
호주산,명사,789324
홀로코스트,명사,1141840
홈런왕,명사,629726
홍보성,명사,683658
홍익대,명사,1389615
홍익대학교,명사,1386270
화보집,명사,670626
화제작,명사,663491
확장성,명사,845531
환영식,명사,629749
환풍,명사,757368
활용도,명사,690879
회무침,명사,621533
회원제,명사,753378
효율화,명사,631374
휴대기기,명사,983094
휴대형,명사,748314
흑염소,명사,630014
흥행성,명사,727830
희귀병,명사,652479
히잡,명사,782150
히트곡,명사,657866
히트작,명사,663492
