등원하다,동사,416191
등지,명사,95376
등차수열,명사,96246
등화관제,명사,96422
디렉터리,명사,420965
디버깅,명사,96231
디오니소스,명사,94471
디젤,명사,94830
디지타이저,명사,96117
디코더,명사,95968
디트로이트,명사,94539
디플레이션,명사,95810
따개비,명사,95879
딴소리하다,동사,96477
딴죽,명사,96080
딸각딸각,부사,95531
딸년,명사,414698
땀샘,명사,94892
땅꼬마,명사,95892
땅울림,명사,418481
때죽나무,명사,95720
땜납,명사,97254
땟국물,명사,510063
땟물,명사,96303
땡,부사,96306
떡갈나무,명사,416971
떡갈비,명사,95785
떽떽거리다,동사,97129
뗀석기,명사,97131
똥강아지,명사,515354
똥그래지다,동사,96938
똥싸개,명사,418759
똥침,명사,515963
똥파리,명사,418567
뛰뛰빵빵,부사,411526
뜨끔,부사,419919
뜨락,명사,99075
뜬공,명사,100734
띄어쓰기하다,동사,98373
라니냐,명사,99025
라돈,명사,99487
라마단,명사,99857
라벤더,명사,420571
라스베이거스,명사,101061
라이브러리,명사,98957
라이선스,명사,100131
라이프니츠,명사,419406
라트비아,명사,101344
라트비아어,명사,421240
라틴,명사,99138
라틴아메리카,명사,420802
라틴어,명사,100576
란제리,명사,99848
람바다,명사,99357
랜,명사,421344
랜턴,명사,99863
랠리,명사,418239
램,명사,99865
랩,명사,102081
랭크되다,동사,101238
러닝,명사,101778
러브,명사,101203
러브신,명사,101870
러시안룰렛,명사,420605
러일전쟁,명사,421474
런던,명사,421034
레닌그라드,명사,99908
레몬차,명사,101463
레버,명사,101485
레이더망,명사,418404
레이블,명사,420608
레이아웃,명사,102324
레일건,명사,103105
레즈비언,명사,101350
레지스터,명사,420576
레퀴엠,명사,100582
렌더링,명사,100279
렘,명사,421197
로고,명사,421399
로그,명사,101418
로더,명사,101049
로데오,명사,101051
로딩,명사,103492
로렌츠,명사,422510
로렌츠곡선,명사,105566
로마,명사,417861
로마인,명사,419628
로망,명사,418405
로봇공학,명사,421428
로스앤젤레스,명사,103927
로스트비프,명사,422050
로즈메리,명사,102901
로케이션,명사,105745
로크,명사,103513
로큰롤,명사,103368
로테이션,명사,417631
롤,명사,422292
롤러코스터,명사,102764
롤빵,명사,103320
롤플레잉,명사,102627
롬,명사,102629
뢴트겐,명사,422980
루브르박물관,명사,104627
루스벨트,명사,420256
루터,명사,105027
룰,명사,105244
룰렛,명사,423564
룸메이트,명사,105246
룸서비스,명사,105250
르네상스,명사,417547
르완다어,명사,105748
리듬체조,명사,418024
리벳,명사,104681
리부팅,명사,105850
리셋,명사,106219
리스프,명사,106002
리얼하다,형용사,412145
리조트,명사,107725
리턴,명사,107895
리투아니아,명사,420104
리투아니아어,명사,107073
리튬,명사,107074
릴리스,명사,106387
링커,명사,107885
링컨,명사,417755
마거릿,명사,107470
마권,명사,423930
마귀할멈,명사,423932
마그네슘,명사,107661
마나,명사,108876
마네,명사,106010
마늘장아찌,명사,418628
마드리드,명사,107612
마루방,명사,108555
마름모꼴,명사,107120
마리아,명사,106084
마리화나,명사,108949
마립간,명사,108954
마마보이,명사,108768
마멀레이드,명사,108979
마방진,명사,417765
마산,명사,107888
마성,명사,107695
마스킹,명사,106414
마스터,명사,109014
마시멜로,명사,108482
마우스피스,명사,109167
마이너,명사,423366
마이애미,명사,109951
마이크로프로세서,명사,420200
마저,부사,108809
마젠타,명사,107920
마젤란,명사,420824
마중물,명사,110061
